song,feature,score,playlist
1,danceability,0.674,2016
1,energy,0.667,2016
1,key,2,2016
1,loudness,-7.385,2016
1,mode,1,2016
1,speechiness,0.0358,2016
1,acousticness,0.206,2016
1,instrumentalness,0.0131,2016
1,liveness,0.1,2016
1,valence,0.78,2016
1,tempo,151.957,2016
1,type,audio_features,2016
1,id,5iYoNasLiEiinDUAkyPjyY,2016
1,uri,spotify,2016
1,track_href,https,2016
1,analysis_url,https,2016
1,duration_ms,347493,2016
1,time_signature,4,2016
2,danceability,0.583,2016
2,energy,0.219,2016
2,key,8,2016
2,loudness,-15.274,2016
2,mode,1,2016
2,speechiness,0.061,2016
2,acousticness,0.978,2016
2,instrumentalness,0,2016
2,liveness,0.0741,2016
2,valence,0.366,2016
2,tempo,116.564,2016
2,type,audio_features,2016
2,id,5LvgJngShRbQRntjegDLqD,2016
2,uri,spotify,2016
2,track_href,https,2016
2,analysis_url,https,2016
2,duration_ms,158613,2016
2,time_signature,4,2016
3,danceability,0.278,2016
3,energy,0.0165,2016
3,key,1,2016
3,loudness,-20.307,2016
3,mode,1,2016
3,speechiness,0.0315,2016
3,acousticness,0.984,2016
3,instrumentalness,1.2e-06,2016
3,liveness,0.117,2016
3,valence,0.162,2016
3,tempo,100.594,2016
3,type,audio_features,2016
3,id,3N5v7Zn9aE5WISyGHHDz6T,2016
3,uri,spotify,2016
3,track_href,https,2016
3,analysis_url,https,2016
3,duration_ms,230467,2016
3,time_signature,3,2016
4,danceability,0.611,2016
4,energy,0.538,2016
4,key,9,2016
4,loudness,-7.74,2016
4,mode,1,2016
4,speechiness,0.0343,2016
4,acousticness,0.76,2016
4,instrumentalness,2.68e-05,2016
4,liveness,0.612,2016
4,valence,0.319,2016
4,tempo,90.124,2016
4,type,audio_features,2016
4,id,2NVaKeIAUZwN5tXnn12EMi,2016
4,uri,spotify,2016
4,track_href,https,2016
4,analysis_url,https,2016
4,duration_ms,239093,2016
4,time_signature,4,2016
5,danceability,0.422,2016
5,energy,0.28,2016
5,key,5,2016
5,loudness,-11.277,2016
5,mode,1,2016
5,speechiness,0.0365,2016
5,acousticness,0.824,2016
5,instrumentalness,0,2016
5,liveness,0.297,2016
5,valence,0.496,2016
5,tempo,100.839,2016
5,type,audio_features,2016
5,id,6Hy22YDN9HJMRlJP1LwnJy,2016
5,uri,spotify,2016
5,track_href,https,2016
5,analysis_url,https,2016
5,duration_ms,147841,2016
5,time_signature,4,2016
6,danceability,0.481,2016
6,energy,0.362,2016
6,key,1,2016
6,loudness,-12.635,2016
6,mode,0,2016
6,speechiness,0.0511,2016
6,acousticness,0.982,2016
6,instrumentalness,0,2016
6,liveness,0.103,2016
6,valence,0.381,2016
6,tempo,73.245,2016
6,type,audio_features,2016
6,id,0d8blmysuiMH73tLQMc4Fc,2016
6,uri,spotify,2016
6,track_href,https,2016
6,analysis_url,https,2016
6,duration_ms,114120,2016
6,time_signature,3,2016
7,danceability,0.788,2016
7,energy,0.395,2016
7,key,2,2016
7,loudness,-8.521,2016
7,mode,1,2016
7,speechiness,0.124,2016
7,acousticness,0.02,2016
7,instrumentalness,0,2016
7,liveness,0.167,2016
7,valence,0.808,2016
7,tempo,105.985,2016
7,type,audio_features,2016
7,id,7hUuGmq5C0AlB4X58TrQ3e,2016
7,uri,spotify,2016
7,track_href,https,2016
7,analysis_url,https,2016
7,duration_ms,186107,2016
7,time_signature,4,2016
8,danceability,0.304,2016
8,energy,0.239,2016
8,key,8,2016
8,loudness,-7.959,2016
8,mode,1,2016
8,speechiness,0.0372,2016
8,acousticness,0.942,2016
8,instrumentalness,0,2016
8,liveness,0.116,2016
8,valence,0.232,2016
8,tempo,170.179,2016
8,type,audio_features,2016
8,id,5CeKQoWwYP3ELGwiiOvK3m,2016
8,uri,spotify,2016
8,track_href,https,2016
8,analysis_url,https,2016
8,duration_ms,132507,2016
8,time_signature,3,2016
9,danceability,0.493,2016
9,energy,0.0863,2016
9,key,6,2016
9,loudness,-12.9,2016
9,mode,1,2016
9,speechiness,0.0732,2016
9,acousticness,0.975,2016
9,instrumentalness,0,2016
9,liveness,0.276,2016
9,valence,0.392,2016
9,tempo,110.062,2016
9,type,audio_features,2016
9,id,1F6xDpEAWjGHMf2Lw12jMj,2016
9,uri,spotify,2016
9,track_href,https,2016
9,analysis_url,https,2016
9,duration_ms,63093,2016
9,time_signature,3,2016
10,danceability,0.538,2016
10,energy,0.925,2016
10,key,0,2016
10,loudness,-4.62,2016
10,mode,1,2016
10,speechiness,0.0631,2016
10,acousticness,0.00249,2016
10,instrumentalness,4.52e-05,2016
10,liveness,0.11,2016
10,valence,0.397,2016
10,tempo,135.025,2016
10,type,audio_features,2016
10,id,6aAwVy5Hzf44HaXlG6INFO,2016
10,uri,spotify,2016
10,track_href,https,2016
10,analysis_url,https,2016
10,duration_ms,257880,2016
10,time_signature,4,2016
11,danceability,0.525,2016
11,energy,0.131,2016
11,key,11,2016
11,loudness,-15.937,2016
11,mode,1,2016
11,speechiness,0.0281,2016
11,acousticness,0.623,2016
11,instrumentalness,0.000145,2016
11,liveness,0.254,2016
11,valence,0.616,2016
11,tempo,63.071,2016
11,type,audio_features,2016
11,id,5akBpqWmFWEHoBGRIrR5aK,2016
11,uri,spotify,2016
11,track_href,https,2016
11,analysis_url,https,2016
11,duration_ms,203573,2016
11,time_signature,4,2016
12,danceability,0.405,2016
12,energy,0.00905,2016
12,key,5,2016
12,loudness,-17.065,2016
12,mode,1,2016
12,speechiness,0.0315,2016
12,acousticness,0.985,2016
12,instrumentalness,0,2016
12,liveness,0.102,2016
12,valence,0.155,2016
12,tempo,83.982,2016
12,type,audio_features,2016
12,id,6w0H5icJIzNDvmwHYdeFwC,2016
12,uri,spotify,2016
12,track_href,https,2016
12,analysis_url,https,2016
12,duration_ms,154067,2016
12,time_signature,4,2016
13,danceability,0.489,2016
13,energy,0.649,2016
13,key,9,2016
13,loudness,-5.11,2016
13,mode,1,2016
13,speechiness,0.0336,2016
13,acousticness,0.000603,2016
13,instrumentalness,0.713,2016
13,liveness,0.101,2016
13,valence,0.77,2016
13,tempo,158.009,2016
13,type,audio_features,2016
13,id,57Xjny5yNzAcsxnusKmAfA,2016
13,uri,spotify,2016
13,track_href,https,2016
13,analysis_url,https,2016
13,duration_ms,219827,2016
13,time_signature,4,2016
14,danceability,0.757,2016
14,energy,0.749,2016
14,key,5,2016
14,loudness,-9.912,2016
14,mode,1,2016
14,speechiness,0.0336,2016
14,acousticness,0.369,2016
14,instrumentalness,1.35e-06,2016
14,liveness,0.101,2016
14,valence,0.893,2016
14,tempo,132.013,2016
14,type,audio_features,2016
14,id,2dZNgClWlCwg3KyYnSciz0,2016
14,uri,spotify,2016
14,track_href,https,2016
14,analysis_url,https,2016
14,duration_ms,208627,2016
14,time_signature,4,2016
15,danceability,0.463,2016
15,energy,0.194,2016
15,key,3,2016
15,loudness,-13.12,2016
15,mode,0,2016
15,speechiness,0.0311,2016
15,acousticness,0.982,2016
15,instrumentalness,0,2016
15,liveness,0.161,2016
15,valence,0.402,2016
15,tempo,112.063,2016
15,type,audio_features,2016
15,id,0En4edlmwdsOvwdEFlADq7,2016
15,uri,spotify,2016
15,track_href,https,2016
15,analysis_url,https,2016
15,duration_ms,185813,2016
15,time_signature,4,2016
16,danceability,0.487,2016
16,energy,0.369,2016
16,key,11,2016
16,loudness,-13.424,2016
16,mode,0,2016
16,speechiness,0.0406,2016
16,acousticness,0.736,2016
16,instrumentalness,3.75e-05,2016
16,liveness,0.0925,2016
16,valence,0.106,2016
16,tempo,183.114,2016
16,type,audio_features,2016
16,id,1gk3FhAV07q9Jg77UxnVjX,2016
16,uri,spotify,2016
16,track_href,https,2016
16,analysis_url,https,2016
16,duration_ms,289307,2016
16,time_signature,4,2016
17,danceability,0.233,2016
17,energy,0.0556,2016
17,key,10,2016
17,loudness,-13.361,2016
17,mode,0,2016
17,speechiness,0.0331,2016
17,acousticness,0.975,2016
17,instrumentalness,3.95e-06,2016
17,liveness,0.0967,2016
17,valence,0.127,2016
17,tempo,79.856,2016
17,type,audio_features,2016
17,id,1uGuNoY1vw5NKPQXctcWW4,2016
17,uri,spotify,2016
17,track_href,https,2016
17,analysis_url,https,2016
17,duration_ms,228387,2016
17,time_signature,1,2016
18,danceability,0.605,2016
18,energy,0.544,2016
18,key,2,2016
18,loudness,-11.37,2016
18,mode,1,2016
18,speechiness,0.0682,2016
18,acousticness,0.823,2016
18,instrumentalness,0.00579,2016
18,liveness,0.338,2016
18,valence,0.797,2016
18,tempo,115.779,2016
18,type,audio_features,2016
18,id,4EoUALVwY4i7U6uKRhk8hr,2016
18,uri,spotify,2016
18,track_href,https,2016
18,analysis_url,https,2016
18,duration_ms,163627,2016
18,time_signature,4,2016
19,danceability,0.211,2016
19,energy,0.122,2016
19,key,0,2016
19,loudness,-9.65,2016
19,mode,1,2016
19,speechiness,0.03,2016
19,acousticness,0.843,2016
19,instrumentalness,0,2016
19,liveness,0.121,2016
19,valence,0.108,2016
19,tempo,91.32,2016
19,type,audio_features,2016
19,id,7zPYaOz5zWoVrfuqD1aCAW,2016
19,uri,spotify,2016
19,track_href,https,2016
19,analysis_url,https,2016
19,duration_ms,110707,2016
19,time_signature,4,2016
20,danceability,0.589,2016
20,energy,0.551,2016
20,key,0,2016
20,loudness,-6.2,2016
20,mode,1,2016
20,speechiness,0.0353,2016
20,acousticness,0.67,2016
20,instrumentalness,1.01e-06,2016
20,liveness,0.0918,2016
20,valence,0.715,2016
20,tempo,104.396,2016
20,type,audio_features,2016
20,id,0Vpswx5knuuXW8HmNK1LrT,2016
