song,feature,score,playlist
1,danceability,0.622,2018
1,energy,0.906,2018
1,key,4,2018
1,loudness,-4.709,2018
1,mode,1,2018
1,speechiness,0.0928,2018
1,acousticness,0.00563,2018
1,instrumentalness,1.23e-05,2018
1,liveness,0.227,2018
1,valence,0.401,2018
1,tempo,127.078,2018
1,type,audio_features,2018
1,id,44fYOqfwMLA5GhZpVQN8bu,2018
1,uri,spotify,2018
1,track_href,https,2018
1,analysis_url,https,2018
1,duration_ms,199427,2018
1,time_signature,4,2018
2,danceability,0.462,2018
2,energy,0.727,2018
2,key,11,2018
2,loudness,-3.456,2018
2,mode,1,2018
2,speechiness,0.0429,2018
2,acousticness,0.244,2018
2,instrumentalness,0.000471,2018
2,liveness,0.0603,2018
2,valence,0.725,2018
2,tempo,106.238,2018
2,type,audio_features,2018
2,id,56U1t1lYUbTxpTCCYjZAXt,2018
2,uri,spotify,2018
2,track_href,https,2018
2,analysis_url,https,2018
2,duration_ms,175800,2018
2,time_signature,4,2018
3,danceability,0.372,2018
3,energy,0.618,2018
3,key,4,2018
3,loudness,-7.756,2018
3,mode,1,2018
3,speechiness,0.0567,2018
3,acousticness,0.0981,2018
3,instrumentalness,0.001,2018
3,liveness,0.125,2018
3,valence,0.325,2018
3,tempo,152.51,2018
3,type,audio_features,2018
3,id,6xxy4SktborcH1wRjISek5,2018
3,uri,spotify,2018
3,track_href,https,2018
3,analysis_url,https,2018
3,duration_ms,234674,2018
3,time_signature,4,2018
4,danceability,0.746,2018
4,energy,0.475,2018
4,key,10,2018
4,loudness,-11.243,2018
4,mode,0,2018
4,speechiness,0.113,2018
4,acousticness,0.0175,2018
4,instrumentalness,1.1e-05,2018
4,liveness,0.197,2018
4,valence,0.292,2018
4,tempo,80.006,2018
4,type,audio_features,2018
4,id,3NxAG2ni1lLa8RKL6a0INc,2018
4,uri,spotify,2018
4,track_href,https,2018
4,analysis_url,https,2018
4,duration_ms,241400,2018
4,time_signature,4,2018
5,danceability,0.749,2018
5,energy,0.606,2018
5,key,0,2018
5,loudness,-5.431,2018
5,mode,0,2018
5,speechiness,0.0317,2018
5,acousticness,0.529,2018
5,instrumentalness,0.0283,2018
5,liveness,0.0833,2018
5,valence,0.742,2018
5,tempo,100.02,2018
5,type,audio_features,2018
5,id,1RSL0AkbRrxgjiRRQubpRn,2018
5,uri,spotify,2018
5,track_href,https,2018
5,analysis_url,https,2018
5,duration_ms,210300,2018
5,time_signature,4,2018
6,danceability,0.487,2018
6,energy,0.369,2018
6,key,11,2018
6,loudness,-13.424,2018
6,mode,0,2018
6,speechiness,0.0406,2018
6,acousticness,0.736,2018
6,instrumentalness,3.75e-05,2018
6,liveness,0.0925,2018
6,valence,0.106,2018
6,tempo,183.114,2018
6,type,audio_features,2018
6,id,1gk3FhAV07q9Jg77UxnVjX,2018
6,uri,spotify,2018
6,track_href,https,2018
6,analysis_url,https,2018
6,duration_ms,289307,2018
6,time_signature,4,2018
7,danceability,0.617,2018
7,energy,0.65,2018
7,key,4,2018
7,loudness,-5.754,2018
7,mode,0,2018
7,speechiness,0.0331,2018
7,acousticness,0.0469,2018
7,instrumentalness,0,2018
7,liveness,0.223,2018
7,valence,0.601,2018
7,tempo,105.68,2018
7,type,audio_features,2018
7,id,4pVIPBplQRoGOh7CXA67Jy,2018
7,uri,spotify,2018
7,track_href,https,2018
7,analysis_url,https,2018
7,duration_ms,218300,2018
7,time_signature,4,2018
8,danceability,0.466,2018
8,energy,0.302,2018
8,key,9,2018
8,loudness,-10.334,2018
8,mode,0,2018
8,speechiness,0.0509,2018
8,acousticness,0.388,2018
8,instrumentalness,0,2018
8,liveness,0.262,2018
8,valence,0.298,2018
8,tempo,131.951,2018
8,type,audio_features,2018
8,id,50bmpfgcV29ouRVDfr5wOc,2018
8,uri,spotify,2018
8,track_href,https,2018
8,analysis_url,https,2018
8,duration_ms,215427,2018
8,time_signature,4,2018
9,danceability,0.647,2018
9,energy,0.688,2018
9,key,4,2018
9,loudness,-5.875,2018
9,mode,1,2018
9,speechiness,0.03,2018
9,acousticness,0.195,2018
9,instrumentalness,0,2018
9,liveness,0.108,2018
9,valence,0.548,2018
9,tempo,99.022,2018
9,type,audio_features,2018
9,id,0eggSuKkQSESeYolitCL52,2018
9,uri,spotify,2018
9,track_href,https,2018
9,analysis_url,https,2018
9,duration_ms,262121,2018
9,time_signature,4,2018
10,danceability,0.536,2018
10,energy,0.65,2018
10,key,0,2018
10,loudness,-5.138,2018
