song,feature,score,playlist
1,danceability,0.398,2019
1,energy,0.706,2019
1,key,7,2019
1,loudness,-4.301,2019
1,mode,1,2019
1,speechiness,0.0565,2019
1,acousticness,0.129,2019
1,instrumentalness,6.89e-06,2019
1,liveness,0.293,2019
1,valence,0.516,2019
1,tempo,122.049,2019
1,type,audio_features,2019
1,id,0NoN2f4Qmp0J7QCbk22z6P,2019
1,uri,spotify,2019
1,track_href,https,2019
1,analysis_url,https,2019
1,duration_ms,241787,2019
1,time_signature,4,2019
2,danceability,0.661,2019
2,energy,0.942,2019
2,key,11,2019
2,loudness,-3.632,2019
2,mode,0,2019
2,speechiness,0.0949,2019
2,acousticness,0.382,2019
2,instrumentalness,0.00902,2019
2,liveness,0.0938,2019
2,valence,0.552,2019
2,tempo,104.012,2019
2,type,audio_features,2019
2,id,4vBIr27NcRFBNpyIxLHZuB,2019
2,uri,spotify,2019
2,track_href,https,2019
2,analysis_url,https,2019
2,duration_ms,208280,2019
2,time_signature,4,2019
3,danceability,0.445,2019
3,energy,0.446,2019
3,key,9,2019
3,loudness,-8.87,2019
3,mode,1,2019
3,speechiness,0.0286,2019
3,acousticness,0.324,2019
3,instrumentalness,0.119,2019
3,liveness,0.106,2019
3,valence,0.0384,2019
3,tempo,92.463,2019
3,type,audio_features,2019
3,id,0WSPIU3Y3bNXsGeKnzSnt1,2019
3,uri,spotify,2019
3,track_href,https,2019
3,analysis_url,https,2019
3,duration_ms,358870,2019
3,time_signature,4,2019
4,danceability,0.536,2019
4,energy,0.823,2019
4,key,7,2019
4,loudness,-7.876,2019
4,mode,1,2019
4,speechiness,0.105,2019
4,acousticness,0.0799,2019
4,instrumentalness,0.000454,2019
4,liveness,0.0602,2019
4,valence,0.364,2019
4,tempo,92.016,2019
4,type,audio_features,2019
4,id,5CxORi41X959HgX0m9avzq,2019
4,uri,spotify,2019
4,track_href,https,2019
4,analysis_url,https,2019
4,duration_ms,409630,2019
4,time_signature,4,2019
5,danceability,0.656,2019
5,energy,0.828,2019
5,key,1,2019
5,loudness,-5.045,2019
5,mode,0,2019
5,speechiness,0.0504,2019
5,acousticness,0.000331,2019
5,instrumentalness,0.486,2019
5,liveness,0.197,2019
5,valence,0.437,2019
5,tempo,121.991,2019
5,type,audio_features,2019
5,id,6MtIerVDZGoo78DJqT4HoJ,2019
5,uri,spotify,2019
5,track_href,https,2019
5,analysis_url,https,2019
5,duration_ms,158027,2019
5,time_signature,4,2019
6,danceability,0.623,2019
6,energy,0.763,2019
6,key,9,2019
6,loudness,-4.412,2019
6,mode,1,2019
6,speechiness,0.0719,2019
6,acousticness,0.199,2019
6,instrumentalness,6.52e-06,2019
6,liveness,0.126,2019
6,valence,0.199,2019
6,tempo,108.871,2019
6,type,audio_features,2019
6,id,6iCJCZqDJjmBxt07Oid6FI,2019
6,uri,spotify,2019
6,track_href,https,2019
6,analysis_url,https,2019
6,duration_ms,226610,2019
6,time_signature,4,2019
7,danceability,0.491,2019
7,energy,0.813,2019
7,key,4,2019
7,loudness,-3.899,2019
7,mode,1,2019
7,speechiness,0.0559,2019
7,acousticness,0.213,2019
7,instrumentalness,0.0212,2019
7,liveness,0.0788,2019
7,valence,0.554,2019
7,tempo,82.901,2019
7,type,audio_features,2019
7,id,1s6ZeNCxTkbN0QgzsvK2SB,2019
7,uri,spotify,2019
7,track_href,https,2019
7,analysis_url,https,2019
7,duration_ms,274730,2019
7,time_signature,4,2019
8,danceability,0.641,2019
8,energy,0.639,2019
8,key,11,2019
8,loudness,-12.974,2019
8,mode,1,2019
8,speechiness,0.0312,2019
8,acousticness,0.466,2019
8,instrumentalness,0.0167,2019
8,liveness,0.0757,2019
8,valence,0.618,2019
8,tempo,125.067,2019
8,type,audio_features,2019
8,id,0kSs2zmoa2t9YrXzEDHSYJ,2019
8,uri,spotify,2019
8,track_href,https,2019
8,analysis_url,https,2019
8,duration_ms,358373,2019
8,time_signature,4,2019
9,danceability,0.427,2019
9,energy,0.559,2019
9,key,2,2019
9,loudness,-7.524,2019
9,mode,1,2019
9,speechiness,0.0268,2019
9,acousticness,0.00111,2019
9,instrumentalness,0.00462,2019
9,liveness,0.12,2019
9,valence,0.333,2019
9,tempo,139.958,2019
9,type,audio_features,2019
9,id,7hGZR5GEbXC8fj07Chx1yG,2019
9,uri,spotify,2019
9,track_href,https,2019
9,analysis_url,https,2019
9,duration_ms,233200,2019
9,time_signature,4,2019
10,danceability,0.528,2019
10,energy,0.857,2019
10,key,9,2019
10,loudness,-5.189,2019
10,mode,1,2019
10,speechiness,0.0277,2019
10,acousticness,0.0132,2019
10,instrumentalness,1.15e-06,2019
10,liveness,0.0526,2019
10,valence,0.62,2019
10,tempo,96.002,2019
10,type,audio_features,2019
10,id,3sekCM8OmHpF3Xd5xZm0E6,2019
10,uri,spotify,2019
10,track_href,https,2019
10,analysis_url,https,2019
10,duration_ms,183991,2019
10,time_signature,4,2019
11,danceability,0.597,2019
11,energy,0.635,2019
11,key,0,2019
11,loudness,-5.889,2019
11,mode,1,2019
11,speechiness,0.0311,2019
11,acousticness,0.035,2019
11,instrumentalness,0.00553,2019
11,liveness,0.127,2019
11,valence,0.196,2019
11,tempo,113.032,2019
11,type,audio_features,2019
11,id,7hNT08Aa0p2Wpozs1tAAoN,2019
11,uri,spotify,2019
11,track_href,https,2019
11,analysis_url,https,2019
11,duration_ms,218000,2019
11,time_signature,4,2019
12,danceability,0.633,2019
12,energy,0.537,2019
12,key,6,2019
12,loudness,-10.45,2019
12,mode,0,2019
12,speechiness,0.0544,2019
12,acousticness,0.0141,2019
12,instrumentalness,3.72e-05,2019
12,liveness,0.103,2019
12,valence,0.889,2019
12,tempo,117.907,2019
12,type,audio_features,2019
12,id,5uIRujGRZv5t4fGKkUTv4n,2019
12,uri,spotify,2019
12,track_href,https,2019
12,analysis_url,https,2019
12,duration_ms,197947,2019
12,time_signature,4,2019
13,danceability,0.727,2019
13,energy,0.48,2019
13,key,5,2019
13,loudness,-9.278,2019
13,mode,0,2019
13,speechiness,0.0987,2019
13,acousticness,0.444,2019
13,instrumentalness,0,2019
13,liveness,0.118,2019
13,valence,0.369,2019
13,tempo,120.025,2019
13,type,audio_features,2019
13,id,16ro1is6DmDKkarlJMBbzV,2019
13,uri,spotify,2019
13,track_href,https,2019
13,analysis_url,https,2019
13,duration_ms,269053,2019
13,time_signature,4,2019
14,danceability,0.675,2019
14,energy,0.495,2019
14,key,7,2019
14,loudness,-7.045,2019
14,mode,1,2019
14,speechiness,0.0306,2019
14,acousticness,0.131,2019
14,instrumentalness,1.37e-05,2019
14,liveness,0.217,2019
14,valence,0.561,2019
14,tempo,133.944,2019
14,type,audio_features,2019
14,id,71fXNfei1P4aKo0glOVc1E,2019
14,uri,spotify,2019
14,track_href,https,2019
14,analysis_url,https,2019
14,duration_ms,213893,2019
14,time_signature,4,2019
15,danceability,0.64,2019
15,energy,0.675,2019
15,key,9,2019
15,loudness,-5.011,2019
15,mode,1,2019
15,speechiness,0.0936,2019
15,acousticness,0.0722,2019
15,instrumentalness,1.08e-06,2019
15,liveness,0.206,2019
15,valence,0.698,2019
15,tempo,80.921,2019
15,type,audio_features,2019
15,id,1eMBtkX7Ae4WHoKyMRn4wQ,2019
15,uri,spotify,2019
15,track_href,https,2019
15,analysis_url,https,2019
15,duration_ms,193187,2019
15,time_signature,4,2019
16,danceability,0.559,2019
16,energy,0.467,2019
16,key,11,2019
16,loudness,-12.543,2019
16,mode,1,2019
16,speechiness,0.0337,2019
16,acousticness,0.273,2019
16,instrumentalness,1.27e-06,2019
16,liveness,0.654,2019
16,valence,0.588,2019
16,tempo,115.097,2019
16,type,audio_features,2019
16,id,2JqRNK63878m5IlMJLZikZ,2019
16,uri,spotify,2019
16,track_href,https,2019
16,analysis_url,https,2019
16,duration_ms,309080,2019
16,time_signature,4,2019
17,danceability,0.554,2019
17,energy,0.651,2019
17,key,2,2019
17,loudness,-7.349,2019
17,mode,1,2019
17,speechiness,0.0248,2019
17,acousticness,0.129,2019
17,instrumentalness,0.00011,2019
17,liveness,0.194,2019
17,valence,0.55,2019
17,tempo,147.986,2019
17,type,audio_features,2019
17,id,66LKYfOFKVJ35d2QeHe7C8,2019
17,uri,spotify,2019
17,track_href,https,2019
17,analysis_url,https,2019
17,duration_ms,204261,2019
17,time_signature,4,2019
18,danceability,0.639,2019
18,energy,0.816,2019
18,key,6,2019
18,loudness,-5.28,2019
18,mode,0,2019
