song,feature,score,playlist
1,danceability,0.532,2017
1,energy,0.548,2017
1,key,1,2017
1,loudness,-6.521,2017
1,mode,1,2017
1,speechiness,0.0291,2017
1,acousticness,0.174,2017
1,instrumentalness,0.0033,2017
1,liveness,0.108,2017
1,valence,0.443,2017
1,tempo,130.114,2017
1,type,audio_features,2017
1,id,64TjzuxG5PJ7payjphrOC0,2017
1,uri,spotify,2017
1,track_href,https,2017
1,analysis_url,https,2017
1,duration_ms,231469,2017
1,time_signature,4,2017
2,danceability,0.674,2017
2,energy,0.667,2017
2,key,2,2017
2,loudness,-7.385,2017
2,mode,1,2017
2,speechiness,0.0358,2017
2,acousticness,0.206,2017
2,instrumentalness,0.0131,2017
2,liveness,0.1,2017
2,valence,0.78,2017
2,tempo,151.957,2017
2,type,audio_features,2017
2,id,5iYoNasLiEiinDUAkyPjyY,2017
2,uri,spotify,2017
2,track_href,https,2017
2,analysis_url,https,2017
2,duration_ms,347493,2017
2,time_signature,4,2017
3,danceability,0.542,2017
3,energy,0.906,2017
3,key,9,2017
3,loudness,-4.213,2017
3,mode,1,2017
3,speechiness,0.0491,2017
3,acousticness,0.021,2017
3,instrumentalness,0.00043,2017
3,liveness,0.377,2017
3,valence,0.515,2017
3,tempo,120.014,2017
3,type,audio_features,2017
3,id,6CES1554HcWMIVroJfmmBm,2017
3,uri,spotify,2017
3,track_href,https,2017
3,analysis_url,https,2017
3,duration_ms,245456,2017
3,time_signature,4,2017
4,danceability,0.537,2017
4,energy,0.89,2017
4,key,5,2017
4,loudness,-5.191,2017
4,mode,1,2017
4,speechiness,0.0488,2017
4,acousticness,0.117,2017
4,instrumentalness,2.05e-05,2017
4,liveness,0.279,2017
4,valence,0.597,2017
4,tempo,114.088,2017
4,type,audio_features,2017
4,id,2Zd9awmsA8KuF65snhz7YH,2017
4,uri,spotify,2017
4,track_href,https,2017
4,analysis_url,https,2017
4,duration_ms,231387,2017
4,time_signature,4,2017
5,danceability,0.615,2017
5,energy,0.76,2017
5,key,7,2017
5,loudness,-5.602,2017
5,mode,1,2017
5,speechiness,0.0384,2017
5,acousticness,0.26,2017
5,instrumentalness,2.71e-05,2017
5,liveness,0.123,2017
5,valence,0.623,2017
5,tempo,142.987,2017
5,type,audio_features,2017
5,id,4S9tF33xlAHn2P9KxkNqP7,2017
5,uri,spotify,2017
